Candidate,Support,Neutral,Oppose
Ad Huikeshoven – User:Ad Huikeshoven,265,697,139
Felix Nartey – User:Flixtey,225,690,186
Itzik Edri – User:Itzike,309,653,139
Liam Wyatt – User:Wittylama,365,619,117
Lorenzo Losa – User:Laurentius,536,468,97
Michael Peel – User:Mike Peel,275,706,120
Michał Buczyński – User:Aegis Maelstrom,336,679,86
Peter Ekman – User:Smallbones,199,742,160
Shawn Chen – User:Chsh,204,710,187
Snezhana Shtrkovska – User:Violetova,252,629,220
Tanweer Morshed – User:Tanweer Morshed,281,684,136
